,location,year,km,fuel,gears,owners,kmpl,engine_size,power,seats,price
94,5,2014,58000,1,0,1,15.1,2179.0,140.0,7.0,810000.0
95,9,2015,30000,1,0,1,25.8,1498.0,98.6,5.0,350000.0
96,9,2013,34212,1,0,1,22.07,1199.0,73.9,5.0,279000.0
97,1,2010,70002,1,0,1,16.2,1493.0,110.0,5.0,345000.0
98,2,2016,62000,0,0,1,18.9,998.0,67.1,5.0,445000.0
99,5,2010,62001,0,0,1,15.26,1598.0,103.5,5.0,265000.0
100,11,2011,78958,1,0,2,23.0,1396.0,90.0,5.0,380000.0
101,10,2014,30180,0,0,1,18.5,1197.0,82.85,5.0,465000.00000000006
102,11,2017,32851,0,0,1,19.83,1198.0,67.0,7.0,395000.0
103,9,2010,30000,1,1,1,14.94,2967.0,241.4,5.0,980000.0000000001
104,11,2009,66000,0,0,2,17.0,1197.0,80.0,5.0,270000.0
105,4,2010,93850,0,0,1,14.0,796.0,35.0,5.0,241000.0
106,1,2014,53000,0,0,1,17.71,1197.0,78.9,5.0,390000.0
107,6,2011,78000,1,1,2,14.74,2993.0,270.9,5.0,2400000.0
108,5,2012,65000,1,0,2,16.0,2179.0,140.0,7.0,575000.0
109,9,2014,40000,1,1,1,22.32,1582.0,126.32,5.0,525000.0
110,10,2017,30000,1,1,1,11.36,2755.0,171.5,7.0,1925000.0
112,2,2014,25500,0,0,1,25.4,624.0,37.5,4.0,215000.0
113,10,2015,56087,1,1,1,22.69,1995.0,190.0,5.0,2075000.0
114,5,2010,71088,0,0,1,13.5,1799.0,130.0,5.0,335000.0
116,2,2014,32700,1,1,1,23.3,1984.0,150.0,5.0,2000000.0
117,4,2016,39882,0,1,1,19.15,1198.0,75.94,5.0,655000.0
118,10,2009,128000,0,1,1,10.8,2497.0,215.0,5.0,700000.0
119,10,2016,55000,1,0,1,24.3,1248.0,88.5,5.0,750000.0
121,11,2014,53753,1,1,2,15.0,2143.0,107.3,5.0,1675000.0
122,9,2018,10250,1,0,1,22.0,1582.0,126.2,5.0,1095000.0
123,11,2011,43874,0,0,1,18.9,998.0,67.1,5.0,245000.00000000003
124,4,2017,32684,0,1,1,21.9,624.0,37.48,4.0,323000.0
125,9,2014,42000,1,0,1,12.05,2179.0,120.0,8.0,775000.0
126,9,2009,28352,0,1,1,11.7,1796.0,178.0,5.0,935000.0
128,2,2007,47700,0,0,2,10.8,2354.0,152.0,5.0,525000.0
129,11,2015,55000,1,1,1,21.21,1498.0,103.2,5.0,725000.0
130,8,2017,44285,0,0,1,20.73,1373.0,91.1,5.0,747000.0
131,7,2016,54000,1,1,1,16.0,2179.0,140.0,7.0,1325000.0
132,4,2016,30232,0,0,1,21.1,1197.0,85.8,5.0,581000.0
133,6,2014,88500,0,0,1,24.07,998.0,67.1,5.0,260000.0
134,9,2017,13372,0,1,1,19.0,2996.0,362.07,2.0,5400000.0
135,8,2019,12645,0,1,1,17.0,1591.0,121.3,5.0,1150000.0
136,3,2010,94385,0,0,2,19.7,796.0,46.3,5.0,160000.0
137,4,2015,31821,1,1,1,20.58,1995.0,143.0,5.0,1722000.0
138,10,2015,12000,0,1,1,19.0,1199.0,88.7,5.0,600000.0
139,5,2012,88578,0,0,1,13.5,1799.0,130.0,5.0,395000.0
140,8,2014,44965,1,1,1,19.27,2143.0,170.0,5.0,1795000.0
141,9,2014,45044,1,0,1,25.8,1498.0,98.6,5.0,370000.0
142,8,2016,34204,0,0,1,22.0,1197.0,81.8,5.0,543000.0
144,4,2012,91235,1,0,1,11.5,2982.0,171.0,7.0,1349000.0
145,11,2014,38800,0,0,1,18.6,1199.0,76.8,5.0,285000.0
146,3,2013,83000,1,0,1,21.14,1498.0,103.52,5.0,475000.0
147,8,2018,41283,0,0,1,20.73,1373.0,91.1,5.0,990000.0
148,10,2013,23000,0,1,1,11.05,2894.0,444.0,4.0,3700000.0
149,10,2014,48000,1,1,1,21.76,1995.0,190.0,5.0,2650000.0
150,4,2015,48214,1,1,1,17.11,1968.0,174.33,5.0,2332000.0
151,3,2016,35000,1,0,1,22.9,1248.0,74.0,5.0,625000.0
152,9,2010,35277,0,1,1,7.81,5461.0,362.9,5.0,3000000.0
153,4,2016,54620,1,1,1,21.66,1498.0,103.52,5.0,986000.0
154,11,2012,136997,1,1,1,17.2,1968.0,138.1,5.0,850000.0
155,8,2019,14322,0,0,1,21.1,814.0,55.2,5.0,423000.00000000006
156,7,2012,65634,1,0,1,22.07,1199.0,73.9,5.0,350000.0
157,9,2016,6000,0,0,1,20.63,1198.0,67.06,5.0,250000.0
158,9,2013,33280,0,0,1,19.4,1198.0,86.8,5.0,239000.0
159,5,2013,29000,0,1,1,14.8,1595.0,120.7,5.0,1125000.0
160,8,2015,42831,1,0,1,26.0,1498.0,98.6,5.0,711000.0
161,1,2016,90000,1,0,1,12.99,2494.0,100.6,7.0,1090000.0
162,1,2017,24005,0,0,1,20.4,1197.0,81.8,5.0,620000.0
164,8,2014,147898,1,0,1,22.7,1498.0,89.84,5.0,442000.0
165,10,2012,131765,1,0,1,13.0,2982.0,168.5,7.0,1350000.0
166,3,2013,65000,1,1,1,21.5,1498.0,108.5,5.0,625000.0
168,10,2015,41000,1,1,1,15.3,2993.0,258.0,5.0,4500000.0
169,4,2017,23550,1,1,1,19.27,2143.0,167.62,5.0,3365999.9999999995
170,2,2012,45000,0,0,2,19.4,1198.0,86.8,5.0,365000.0
171,5,2013,60000,0,0,1,20.36,1197.0,78.9,5.0,275000.0
172,2,2016,44414,1,1,1,17.9,2143.0,170.0,5.0,4250000.0
174,10,2012,62500,1,1,2,17.68,1968.0,174.33,5.0,1900000.0
175,10,2013,21000,0,1,2,14.4,1598.0,103.6,5.0,445000.0
176,7,2017,8525,1,1,2,16.6,1998.0,112.0,5.0,2300000.0
177,2,2014,29000,1,0,1,22.54,1396.0,88.73,5.0,835000.0
178,10,2014,40000,1,1,1,17.68,1968.0,174.33,5.0,2295000.0
179,7,2012,88000,1,0,1,25.44,936.0,57.6,5.0,150000.0
180,8,2012,53537,0,1,1,13.7,1798.0,157.75,5.0,689000.0
181,3,2006,216000,1,0,2,17.8,1399.0,68.0,5.0,145000.0
182,6,2014,51000,1,1,1,22.48,1995.0,190.0,5.0,3350000.0
183,7,2007,118500,0,0,1,12.9,1598.0,102.5,5.0,125000.0
185,10,2015,25000,1,0,1,19.98,1461.0,108.5,8.0,675000.0
186,2,2014,37382,1,1,1,13.0,2143.0,201.1,5.0,3200000.0
187,8,2017,24773,0,0,1,21.4,1197.0,83.1,5.0,750000.0
188,5,2012,62000,1,0,1,22.32,1582.0,126.32,5.0,459999.99999999994
189,8,2017,52340,0,0,1,19.81,1086.0,68.05,5.0,404000.0
190,8,2016,56739,1,0,1,15.4,1997.0,120.0,7.0,1031000.0
191,4,2018,36091,1,1,1,12.7,2179.0,187.7,5.0,5576000.0
193,10,2016,33000,1,0,1,25.47,1248.0,88.5,7.0,850000.0
195,9,2014,52000,1,0,1,25.8,1498.0,98.6,5.0,350000.0
196,7,2015,43571,0,0,1,20.36,1197.0,78.9,5.0,355000.0
197,9,2013,50000,1,0,1,25.8,1498.0,98.6,5.0,325000.0
198,6,2008,113000,1,0,1,17.5,1896.0,106.0,5.0,450000.0
199,5,2014,90000,1,0,1,19.87,1461.0,83.8,5.0,535000.0
200,3,2017,29000,1,0,2,17.45,1493.0,100.0,7.0,650000.0
201,10,2016,20000,1,0,1,24.3,1248.0,88.5,5.0,900000.0
202,8,2016,61012,0,0,1,18.6,1197.0,81.83,5.0,600000.0
203,7,2009,87459,0,0,1,14.7,1390.0,85.0,5.0,275000.0
204,11,2010,70500,0,0,1,15.64,1193.0,64.1,5.0,150000.0
205,5,2015,64103,1,1,1,15.73,1968.0,174.33,5.0,1989999.9999999998
206,10,2014,76000,0,1,1,14.7,1798.0,177.5,5.0,1000000.0
207,5,2014,104000,1,0,1,23.59,1364.0,67.06,5.0,300000.0
209,8,2014,37245,0,1,1,14.8,1595.0,120.7,5.0,1196000.0
210,9,2013,45000,1,0,1,27.4,1498.0,98.6,5.0,325000.0
211,7,2012,117837,1,0,2,22.32,1582.0,126.32,5.0,475000.0
212,10,2014,30000,1,0,1,20.46,1461.0,83.8,5.0,595000.0
213,5,2015,27057,0,0,2,15.29,1591.0,121.3,5.0,815000.0
214,10,2016,8500,0,1,1,20.51,998.0,67.0,5.0,422000.0
215,9,2010,30500,0,1,1,11.74,1796.0,186.0,5.0,1050000.0
216,5,2012,56000,1,1,1,11.8,2967.0,246.7,5.0,4500000.0
217,11,2012,44000,0,0,2,19.81,1086.0,68.05,5.0,290000.0
218,10,2017,10500,0,1,1,14.3,1598.0,103.52,5.0,890000.0
219,6,2017,26000,0,1,1,14.67,1798.0,177.46,5.0,2600000.0
220,4,2018,25166,0,0,1,17.19,1197.0,81.86,5.0,822000.0000000001
221,9,2014,64000,1,0,2,25.8,1498.0,98.6,5.0,350000.0
222,3,2004,61000,0,0,2,18.9,998.0,67.1,5.0,125000.0
223,6,2013,107000,1,0,1,21.03,1461.0,65.0,5.0,370000.0
224,4,2018,29161,1,1,1,19.27,2143.0,167.62,5.0,3940999.9999999995
225,9,2013,32000,0,0,1,22.5,998.0,67.04,5.0,265000.0
226,4,2015,46173,1,0,2,19.01,1461.0,108.5,5.0,892000.0
228,8,2017,26327,0,1,1,16.82,1998.0,189.08,4.0,3567000.0
230,7,2007,200000,1,0,2,17.2,1396.0,53.5,5.0,85000.0
231,8,2016,60813,0,0,2,18.6,1199.0,76.8,5.0,332000.0
232,10,2012,45000,1,0,1,22.07,1199.0,73.9,5.0,360000.0
233,6,2016,64000,1,0,1,22.9,1248.0,74.0,5.0,680000.0
235,8,2019,14165,1,1,1,11.36,2755.0,171.5,7.0,1964000.0
236,10,2011,67000,1,1,2,11.72,2199.0,194.3,7.0,700000.0
237,9,2011,32572,0,0,1,17.4,1497.0,117.3,5.0,387000.0
238,8,2018,14960,0,0,1,18.6,1197.0,81.83,5.0,627000.0
239,8,2015,55980,1,1,1,19.27,2143.0,167.62,5.0,1812000.0
240,10,2013,74000,1,0,1,25.44,936.0,57.6,5.0,265000.0
241,8,2015,56847,1,0,1,22.54,1396.0,88.73,5.0,720000.0
242,4,2015,121374,1,0,1,12.99,2494.0,100.6,7.0,1430000.0
243,3,2013,52000,1,0,1,20.77,1248.0,88.76,7.0,690000.0
244,10,2014,118000,1,0,1,12.8,2494.0,102.0,7.0,1075000.0
246,8,2016,33915,0,0,1,17.8,1497.0,117.3,5.0,809000.0
247,1,2014,82002,1,1,1,17.05,1995.0,184.0,5.0,1850000.0
248,10,2017,33000,1,0,1,24.0,1120.0,70.0,5.0,475000.0
249,3,2016,34000,1,0,1,28.09,1248.0,88.5,5.0,844999.9999999999
250,9,2012,55000,1,0,1,20.5,1598.0,103.6,5.0,350000.0
252,7,2014,60000,1,0,2,19.91,1498.0,103.6,5.0,370000.0
253,4,2017,49575,0,0,1,18.7,1199.0,88.7,5.0,717000.0
254,7,2010,83000,0,0,1,19.81,1086.0,68.05,5.0,175000.0
255,8,2018,51346,1,1,1,16.38,1995.0,183.0,5.0,2199000.0
256,11,2017,43000,1,0,1,13.68,2393.0,147.8,7.0,1864999.9999999998
257,7,2011,35000,0,0,3,19.7,796.0,35.0,5.0,185000.0
258,4,2017,27872,0,0,2,20.4,1197.0,81.8,5.0,595000.0
259,10,2014,16514,0,0,1,18.9,1197.0,82.0,5.0,375000.0
260,11,2012,120000,1,0,1,22.9,1248.0,74.0,5.0,375000.0
261,6,2008,143275,1,0,1,22.0,1582.0,126.2,5.0,260000.0
263,10,2010,52000,0,0,1,17.0,1197.0,80.0,5.0,280000.0
264,4,2017,29819,1,1,1,11.57,2987.0,254.79,5.0,6129000.0
265,2,2014,57000,1,0,2,15.8,2148.0,170.0,5.0,1800000.0
267,2,2016,28000,1,0,1,19.67,1582.0,126.2,5.0,1375000.0
268,11,2010,67000,0,0,1,19.0,998.0,66.1,5.0,200000.0
269,5,2016,26000,1,0,1,19.64,1461.0,108.45,5.0,1000000.0
270,5,2010,120000,1,0,1,17.8,1248.0,76.0,5.0,165000.0
271,4,2017,51982,1,1,1,16.55,2993.0,258.0,5.0,4577000.0
272,2,2010,36000,0,0,2,20.36,1197.0,78.9,5.0,325000.0
273,11,2016,47000,1,0,1,12.8,2494.0,102.0,7.0,1280000.0
274,10,2002,60000,0,0,3,17.3,993.0,60.0,5.0,55000.00000000001
275,6,2018,31025,1,0,1,28.4,1248.0,74.0,5.0,715000.0
276,11,2013,105000,1,0,2,12.05,2179.0,120.0,8.0,700000.0
277,11,2017,121900,1,0,1,22.95,1248.0,74.0,5.0,375000.0
278,10,2017,22695,0,0,1,18.88,999.0,123.24,5.0,850000.0
279,7,2012,73000,1,0,1,23.4,1248.0,74.0,5.0,434999.99999999994
280,8,2016,32227,0,0,1,22.74,796.0,47.3,5.0,326000.0
281,7,2011,55000,0,0,1,17.0,1497.0,118.0,5.0,421000.0
282,8,2018,11287,1,1,1,12.07,2967.0,241.4,7.0,7036000.0
283,10,2009,48000,1,1,2,17.0,1896.0,105.0,5.0,295000.0
284,8,2012,54308,0,0,1,17.1,1591.0,121.3,5.0,428000.0
285,7,2009,78442,0,1,1,16.8,1497.0,118.0,5.0,357000.0
286,9,2013,46000,1,0,1,21.9,1396.0,88.8,5.0,311000.0
287,4,2014,45051,0,1,1,15.0,1396.0,98.6,5.0,596000.0
288,6,2011,69000,1,0,1,20.54,1598.0,103.6,5.0,470000.0
289,1,2014,49000,0,0,1,17.4,1497.0,117.3,5.0,690000.0
290,11,2018,45000,1,0,1,22.95,1248.0,74.0,5.0,525000.0
291,11,2015,64000,1,1,1,18.48,1995.0,177.0,5.0,2800000.0
292,5,2009,60000,0,0,1,18.9,1061.0,67.0,5.0,135000.0
293,5,2015,62178,0,0,1,18.2,1199.0,88.7,5.0,484999.99999999994
294,4,2012,58006,1,0,1,15.0,1896.0,105.0,5.0,670000.0
295,6,2010,74000,0,0,1,20.36,1197.0,78.9,5.0,310000.0
297,11,2012,45275,0,0,1,20.36,1197.0,78.9,5.0,280000.0
298,3,2016,48000,1,0,1,13.68,2393.0,147.8,7.0,2025000.0
299,8,2015,31652,1,1,1,17.68,1968.0,174.33,5.0,2678000.0
300,6,2010,109000,1,0,2,12.99,2494.0,100.6,7.0,826000.0
301,10,2015,31978,0,0,1,16.47,1198.0,73.9,5.0,389000.0
302,6,2011,70000,0,0,1,20.92,998.0,67.1,5.0,210000.0
303,10,2017,15000,0,1,1,18.0,1497.0,117.3,5.0,1269000.0
304,4,2013,59138,1,0,1,17.0,1405.0,70.0,5.0,258000.0
305,8,2014,61726,1,1,1,17.68,1968.0,174.33,5.0,2077000.0
306,5,2015,48000,1,1,1,17.9,2143.0,136.0,5.0,2026000.0000000002
309,6,2014,77815,0,1,1,23.1,998.0,67.04,5.0,425000.0
310,6,2017,29000,1,1,1,17.9,2143.0,201.15,5.0,5700000.0
311,5,2017,44000,1,1,1,12.7,2179.0,187.7,5.0,4400000.0
312,6,2011,108626,1,0,1,20.54,1598.0,103.6,5.0,365000.0
313,6,2012,71791,0,0,1,14.0,796.0,35.0,5.0,204999.99999999997
315,6,2000,158000,1,0,2,14.07,2956.0,83.1,7.0,150000.0
316,11,2012,91183,1,0,1,18.0,1248.0,75.0,5.0,285000.0
317,5,2012,65000,0,0,1,18.9,998.0,67.1,5.0,265000.0
318,6,2015,88428,1,0,1,16.0,2179.0,140.0,7.0,1060000.0
319,11,2008,138000,1,0,2,17.1,1396.0,70.0,5.0,125000.0
320,10,2018,18000,0,0,1,16.02,1373.0,93.7,7.0,825000.0
321,10,2011,60000,0,1,1,11.7,2354.0,177.6,5.0,445000.0
322,9,2012,48000,1,0,1,19.3,1248.0,73.9,5.0,370000.0
323,6,2009,160000,1,0,1,17.8,1399.0,68.0,5.0,280000.0
324,9,2008,40000,0,0,1,17.7,1497.0,78.0,5.0,180000.0
325,8,2014,51495,1,1,1,17.68,1968.0,174.33,5.0,2195000.0
327,4,2017,97430,1,1,1,14.75,2967.0,245.0,7.0,6267000.0
329,11,2012,83000,1,0,1,23.0,1396.0,90.0,5.0,550000.0
330,2,2009,37000,0,1,3,16.95,1197.0,78.9,5.0,295000.0
331,8,2016,28503,0,1,1,19.0,1199.0,88.7,5.0,686000.0
332,6,2015,76496,1,0,1,25.2,1248.0,74.0,5.0,615000.0
333,11,2011,79152,0,0,2,18.5,1197.0,82.85,5.0,330000.0
334,9,2011,32000,0,0,1,16.47,1198.0,73.9,5.0,254999.99999999997
335,1,2009,35000,0,0,1,19.7,796.0,46.3,5.0,150000.0
336,3,2004,105000,0,1,2,11.3,1794.0,125.0,5.0,250000.0
337,3,2006,56000,0,0,2,19.7,796.0,46.3,5.0,140000.0
338,11,2012,73000,1,0,1,21.12,1248.0,88.8,5.0,340000.0
339,11,2012,38000,0,0,1,19.7,796.0,46.3,5.0,225000.0
341,9,2008,80000,0,1,1,11.3,1794.0,125.0,5.0,280000.0
342,4,2016,24973,0,0,1,18.6,1197.0,81.83,5.0,766000.0
343,3,2016,45000,1,0,1,24.3,1248.0,88.5,5.0,715000.0
344,5,2010,87430,0,0,1,17.0,1497.0,118.0,5.0,350000.0
345,6,2014,133944,1,0,2,18.0,1248.0,75.0,5.0,350000.0
346,9,2013,57000,1,0,1,25.8,1498.0,98.6,5.0,345000.0
347,4,2016,27904,0,0,1,21.1,814.0,55.2,5.0,355000.0
348,8,2015,30717,1,1,2,21.76,1995.0,190.0,5.0,2599000.0
349,2,2012,80000,1,0,1,22.32,1582.0,126.32,5.0,525000.0
350,1,2013,47304,1,0,1,21.02,1248.0,88.8,5.0,290000.0
351,7,2005,100000,0,1,1,14.45,1984.0,227.0,5.0,204999.99999999997
352,11,2017,30000,0,0,1,24.07,998.0,67.1,5.0,375000.0
353,10,2014,68000,1,0,1,22.7,1498.0,89.84,5.0,675000.0
354,9,2011,21000,0,0,2,18.0,995.0,62.0,5.0,95000.0
355,6,2017,21000,1,1,1,19.33,1999.0,177.0,5.0,5200000.0
356,7,2007,119000,0,0,3,13.1,1997.0,141.1,5.0,391000.0
357,8,2019,13747,0,1,1,14.67,1798.0,177.46,5.0,2730000.0
359,5,2013,70000,1,0,1,22.9,1248.0,74.0,5.0,350000.0
360,10,2016,18000,0,1,1,18.5,1197.0,83.14,5.0,620000.0
361,3,2011,83000,1,0,1,23.08,1461.0,63.1,5.0,275000.0
362,10,2015,130000,1,0,1,23.4,1248.0,74.0,5.0,325000.0
363,11,2012,63400,1,0,1,17.8,1399.0,67.0,5.0,325000.0
364,9,2003,65000,0,0,1,17.3,993.0,60.0,5.0,65000.0
365,11,2017,8350,0,0,1,13.8,1998.0,192.0,5.0,3500000.0
366,9,2014,45000,1,0,1,23.59,1364.0,67.05,5.0,325000.0
367,9,2018,26200,0,0,1,24.7,796.0,47.3,5.0,290000.0
369,2,2009,90000,1,1,2,11.0,2993.0,235.0,5.0,1775000.0
370,10,2015,74000,0,1,2,11.07,2496.0,179.5,5.0,825000.0
371,4,2015,37081,0,1,1,18.9,1197.0,82.0,5.0,577000.0
372,6,2017,39000,1,0,1,24.3,1248.0,88.5,5.0,949000.0
373,10,2008,99000,1,1,3,12.07,2967.0,241.4,7.0,1295000.0
374,3,2015,38000,1,1,1,17.9,2143.0,136.0,5.0,2000000.0
375,3,2007,72000,0,0,3,16.1,796.0,37.0,4.0,100000.0
376,3,2015,93000,1,0,2,20.45,1461.0,83.8,5.0,710000.0
377,10,2017,5900,1,0,1,21.43,1364.0,87.2,5.0,1650000.0
378,3,2014,25000,1,0,1,15.8,2148.0,170.0,5.0,2600000.0
380,8,2017,35676,0,1,1,16.0,1497.0,117.3,7.0,948000.0
381,8,2015,74310,1,0,1,24.4,1120.0,71.0,5.0,400000.0
382,7,2014,59364,1,1,1,14.21,2143.0,203.0,5.0,2650000.0
383,8,2014,41380,0,1,2,14.8,1595.0,120.7,5.0,1177000.0
384,2,2017,33900,1,1,1,15.0,2143.0,204.0,5.0,3700000.0
385,10,2016,28000,0,0,1,17.8,1497.0,117.3,5.0,875000.0
387,3,2011,93982,0,0,1,17.0,1497.0,118.0,5.0,375000.0
388,11,2010,95000,0,0,1,16.2,1599.0,103.2,5.0,250000.0
389,10,2017,9000,0,1,1,13.5,1999.0,246.74,5.0,3450000.0
390,5,2015,52516,0,0,1,18.0,1198.0,86.7,5.0,465000.00000000006
391,2,2015,20000,0,1,1,18.86,1598.0,122.0,4.0,3200000.0
392,4,2017,56451,1,1,1,13.5,2987.0,282.0,5.0,6281000.0
393,3,2014,37000,0,0,1,21.1,814.0,55.2,5.0,325000.0
394,9,2014,17400,0,0,1,20.51,998.0,67.04,5.0,310000.0
395,4,2011,90207,1,0,1,21.1,1248.0,73.9,5.0,391000.0
396,3,2011,89616,1,1,1,16.07,1995.0,181.0,5.0,1100000.0
397,11,2014,85000,1,0,1,13.49,2179.0,138.03,5.0,350000.0
398,3,2014,79271,1,1,1,20.38,1968.0,143.0,5.0,1650000.0
399,6,2012,56000,1,1,1,12.7,2179.0,187.7,5.0,3000000.0
400,11,2010,85001,1,1,2,12.0,2987.0,224.0,7.0,2800000.0
401,6,2018,12000,1,1,1,13.5,2477.0,175.56,7.0,2800000.0
402,7,2010,125000,0,0,1,19.7,796.0,46.3,5.0,92000.0
403,11,2013,53000,0,0,1,14.0,1061.0,64.0,5.0,275000.0
404,4,2017,34990,1,1,1,12.7,2179.0,187.7,5.0,5383000.0
405,11,2011,49768,0,0,2,17.01,1591.0,121.3,5.0,495000.0
406,6,2013,56000,1,1,1,16.73,2993.0,218.0,5.0,3350000.0
407,2,2013,75000,1,1,1,14.74,2993.0,270.9,5.0,2795000.0
